rank,album_name,last_week,peak_position,wks_on_rank,artist_name,date
1, Memories...Do Not Open ,120,1,1, The Chainsmokers , 4/29/2017
2, More Life ,1,1,4, Drake , 4/29/2017
3, Divide ,2,1,6, Ed Sheeran , 4/29/2017
4, PTX Vol. IV: Classics (EP) ,120,4,1, Pentatonix , 4/29/2017
5, All-Amerikkkan Bada$$ ,120,5,1, Joey Bada$$ , 4/29/2017
6, 24K Magic ,4,2,21, Bruno Mars , 4/29/2017
7, Moana ,6,2,21, Soundtrack , 4/29/2017
8, Painting Pictures ,3,3,2, Kodak Black , 4/29/2017
9, FUTURE ,8,1,8, Future , 4/29/2017
10, Pure Comedy ,120,10,1, Father John Misty , 4/29/2017
11, Beauty And The Beast (2017) ,5,3,5, Soundtrack , 4/29/2017
12, Culture ,9,1,11, Migos , 4/29/2017
13, Starboy ,11,1,20, The Weeknd , 4/29/2017
14, American Teen ,15,9,6, Khalid , 4/29/2017
15, Stoney ,14,6,18, Post Malone , 4/29/2017
16, Hardwired...To Self-Destruct ,28,1,21, Metallica , 4/29/2017
17, Trolls ,17,3,29, Soundtrack , 4/29/2017
18, Hamilton: An American Musical ,21,3,81, Original Broadway Cast , 4/29/2017
19, I Decided. ,18,1,10, Big Sean , 4/29/2017
20, HNDRXX ,20,1,7, Future , 4/29/2017
21, Star-light: Recorded Live On Tour ,120,21,1, Bethel Music , 4/29/2017
22, Views ,22,1,50, Drake , 4/29/2017
23, Ripcord ,13,4,49, Keith Urban , 4/29/2017
24, The RCA-List  Vol 4 ,24,10,10, Various Artists , 4/29/2017
25, Rather You Than Me ,16,3,4, Rick Ross , 4/29/2017
26, Birds In The Trap Sing McKnight ,26,1,32, Travis Scott , 4/29/2017
27, Blurryface ,29,1,100, twenty one pilots , 4/29/2017
28, Dominion ,120,28,1, Tech N9ne Collabos , 4/29/2017
29, ANTI ,30,1,64, Rihanna , 4/29/2017
30, Tremaine The Album ,19,3,3, Trey Songz , 4/29/2017
31, The Weight Of These Wings ,12,3,21, Miranda Lambert , 4/29/2017
32, Lovely Little Lonely ,120,32,1, The Maine , 4/29/2017
33, Sing ,31,8,18, Soundtrack , 4/29/2017
34, Coming Home ,120,34,1, Falling In Reverse , 4/29/2017
35, Whiteout Conditions ,120,35,1, The New Pornographers , 4/29/2017
36, Coloring Book ,34,8,48, Chance The Rapper , 4/29/2017
37, Collage (EP) ,41,6,23, The Chainsmokers , 4/29/2017
38, Traveller ,32,1,83, Chris Stapleton , 4/29/2017
39, Death Of A Bachelor ,49,1,65, Panic! At The Disco , 4/29/2017
40, Dig Your Roots ,33,2,33, Florida Georgia Line , 4/29/2017
41,25,38,1,73, Adele , 4/29/2017
42, Lifer ,10,10,2, MercyMe , 4/29/2017
43, Sremmlife 2 ,44,4,35, Rae Sremmurd , 4/29/2017
44, My Moment ,120,44,1, Tee Grizzley , 4/29/2017
45, 4 Your Eyez Only ,48,1,18, J. Cole , 4/29/2017
46, good kid  m.A.A.d city ,50,2,233, Kendrick Lamar , 4/29/2017
47, Dangerous Woman ,47,2,47, Ariana Grande , 4/29/2017
48, Long Live Nut ,27,27,2, YFN Lucci , 4/29/2017
49, Brett Young ,51,18,9, Brett Young , 4/29/2017
50, If Not For You ,120,50,1, Joey Feek , 4/29/2017
51, Back From The Edge ,52,39,23, James Arthur , 4/29/2017
52, The Far Field ,120,52,1, Future Islands , 4/29/2017
53, So Good ,59,26,4, Zara Larsson , 4/29/2017
54, Montevallo ,45,3,129, Sam Hunt , 4/29/2017
55," ""Awaken  My Love!"" ",67,5,19, Childish Gambino , 4/29/2017
56, Tangled Up ,46,6,81, Thomas Rhett , 4/29/2017
57, x ,57,1,147, Ed Sheeran , 4/29/2017
58, Epic Lit (Version 3) ,64,38,7, Various Artists , 4/29/2017
59, NOW 61 ,68,5,11, Various Artists , 4/29/2017
60, Beauty Behind The Madness ,63,1,85, The Weeknd , 4/29/2017
61, Suicide Squad: The Album ,61,1,36, Soundtrack , 4/29/2017
62, La La Land ,86,2,18, Soundtrack , 4/29/2017
63, Sing It Now: Songs Of Faith & Hope ,43,4,10, Reba McEntire , 4/29/2017
64, The Life Of Pablo ,71,1,53, Kanye West , 4/29/2017
65, American Rebelution ,120,65,1, The Lacs , 4/29/2017
66, Joanne ,58,1,25, Lady Gaga , 4/29/2017
67, Fifty Shades Darker ,56,1,9, Soundtrack , 4/29/2017
68, Big Little Lies: Music From The HBO Limited Series ,23,23,2, Soundtrack , 4/29/2017
69, La Divine ,120,69,1, Cold War Kids , 4/29/2017
70, T R A P S O U L ,69,8,81, Bryson Tiller , 4/29/2017
71, The Essential Michael Jackson ,79,46,193, Michael Jackson , 4/29/2017
72, Kill The Lights ,42,1,88, Luke Bryan , 4/29/2017
73, Bulletproof ,36,36,2, Young Dolph , 4/29/2017
74, 2014 Forest Hills Drive ,80,1,123, J. Cole , 4/29/2017
75, California Sunrise ,55,11,41, Jon Pardi , 4/29/2017
76, Take Care ,70,1,215, Drake , 4/29/2017
77, Lil Uzi Vert Vs. The World ,82,37,46, Lil Uzi Vert , 4/29/2017
78, The Devil Dont Sleep ,75,2,11, Brantley Gilbert , 4/29/2017
79, Emperor Of Sand ,7,7,2, Mastodon , 4/29/2017
80, Illuminate ,40,1,29, Shawn Mendes , 4/29/2017
81, Savage Mode ,76,23,39, 21 Savage & Metro Boomin , 4/29/2017
82, FREE 6LACK ,83,54,17, 6LACK , 4/29/2017
83, Lemonade ,65,1,51, Beyonce , 4/29/2017
84, They Don't Know ,60,1,31, Jason Aldean , 4/29/2017
85, Vessel ,85,21,139, twenty one pilots , 4/29/2017
86, NAV ,84,24,7, NAV , 4/29/2017
87, Purpose ,90,1,74, Justin Bieber , 4/29/2017
88, Badlands ,105,2,85, Halsey , 4/29/2017
89, SweetSexySavage ,74,3,11, Kehlani , 4/29/2017
90, Act One ,98,42,13, Marian Hill , 4/29/2017
91, The Breaker ,53,4,7, Little Big Town , 4/29/2017
92, Islah ,93,2,63, Kevin Gates , 4/29/2017
93, The Eminem Show ,89,1,315, Eminem , 4/29/2017
94, GTTM: Goin Thru The Motions ,87,28,13, PnB Rock , 4/29/2017
95, Greatest Hits ,108,3,186, 2Pac , 4/29/2017
96, Journey's Greatest Hits ,101,10,456, Journey , 4/29/2017
97, If You're Reading This It's Too Late ,97,1,114, Drake , 4/29/2017
98, Legend: The Best Of... ,104,5,465, Bob Marley And The Wailers , 4/29/2017
99, This Is Acting ,99,4,63, Sia , 4/29/2017
100, DS2 ,102,1,91, Future , 4/29/2017
101, Hero ,39,5,45, Maren Morris , 4/29/2017
102, Doo-Wops & Hooligans ,96,3,319, Bruno Mars , 4/29/2017
103, Metallica ,95,1,426, Metallica , 4/29/2017
104, The Human Condition ,120,5,38, Jon Bellion , 4/29/2017
105, Infinite ,120,105,1, Deep Purple , 4/29/2017
106, Greatest Hits ,112,11,266, Queen , 4/29/2017
107, Know-It-All ,107,9,74, Alessia Cara , 4/29/2017
108, Nothing Was The Same ,109,1,182, Drake , 4/29/2017
109, To Pimp A Butterfly ,115,1,103, Kendrick Lamar , 4/29/2017
110, If I'm Honest ,66,3,47, Blake Shelton , 4/29/2017
111, Black ,62,2,44, Dierks Bentley , 4/29/2017
112, Ransom 2 ,77,24,3, Mike WiLL Made-It , 4/29/2017
113, Curtain Call: The Hits ,117,1,336, Eminem , 4/29/2017
114, Mothership ,120,7,218, Led Zeppelin , 4/29/2017
115, Chronicle The 20 Greatest Hits ,128,22,310, Creedence Clearwater Revival , 4/29/2017
116, 4Ever ,126,33,21, Prince , 4/29/2017
117, Blonde ,130,1,34, Frank Ocean , 4/29/2017
118, Every Where Is Some Where ,120,118,1, k.flay , 4/29/2017
119, Cry Baby ,122,6,87, Melanie Martinez , 4/29/2017
120, The First Time ,88,31,91, Kelsea Ballerini , 4/29/2017
121, The Perfect LUV Tape ,129,55,35, Lil Uzi Vert , 4/29/2017
122, Dance Latin #1 Hits 2.0: Los Exitos del Momento ,116,116,2, Various Artists , 4/29/2017
123, When It's Dark Out ,119,5,71, G-Eazy , 4/29/2017
124, Cleopatra ,114,1,53, The Lumineers , 4/29/2017
125, Artist ,121,70,27, A Boogie Wit da Hoodie , 4/29/2017
126, Born To Die ,153,2,271, Lana Del Rey , 4/29/2017
127, The Return Of East Atlanta Santa ,127,16,17, Gucci Mane , 4/29/2017
128, Reloaded: 20 #1 Hits ,125,5,77, Blake Shelton , 4/29/2017
129,21,123,1,321, Adele , 4/29/2017
130, How Can It Be ,73,28,101, Lauren Daigle , 4/29/2017
131, In The Lonely Hour ,131,2,148, Sam Smith , 4/29/2017
132, Kidz Bop 34 ,175,18,11, Kidz Bop Kids , 4/29/2017
133, You Should Be Here ,92,6,47, Cole Swindell , 4/29/2017
134, Beyonce ,158,1,168, Beyonce , 4/29/2017
135, Greatest Hits So Far... ,133,20,114, Zac Brown Band , 4/29/2017
136, Greatest Hits ,137,3,395, Guns N' Roses , 4/29/2017
137, Mr. Misunderstood ,110,2,75, Eric Church , 4/29/2017
138, Thank You ,120,3,44, Meghan Trainor , 4/29/2017
139, Kane Brown ,103,10,19, Kane Brown , 4/29/2017
140, Deep South ,132,18,5, Josh Turner , 4/29/2017
141, Bach Trios ,120,141,1, Yo-Yo Ma / Chris Thile / Edgar Meyer , 4/29/2017
142, What A Time To Be Alive ,140,1,81, Drake & Future , 4/29/2017
143, Hopeless Romantic ,120,143,1, Michelle Branch , 4/29/2017
144, Unorthodox Jukebox ,134,1,167, Bruno Mars , 4/29/2017
145, Strange Trails ,120,23,3, Lord Huron , 4/29/2017
146, Night Visions ,141,2,237, Imagine Dragons , 4/29/2017
147, Here's To The Good Times ,147,4,218, Florida Georgia Line , 4/29/2017
148, The Fame ,162,2,182, Lady Gaga , 4/29/2017
149, Fetty Wap ,142,1,80, Fetty Wap , 4/29/2017
150, Greatest Hits ,155,1,76, The Notorious B.I.G. , 4/29/2017
151, The Essential Billy Joel ,145,15,91, Billy Joel , 4/29/2017
152, Crash My Party ,106,1,187, Luke Bryan , 4/29/2017
153, Goodbye Yellow Brick Road ,120,1,111, Elton John , 4/29/2017
154, Back To Black ,120,2,162, Amy Winehouse , 4/29/2017
155, Rumours ,146,1,218, Fleetwood Mac , 4/29/2017
156, This Is A Challenge ,120,93,16, Various Artists , 4/29/2017
157,1,156,1,268, The Beatles , 4/29/2017
158, Title ,194,1,106, Meghan Trainor , 4/29/2017
159, Greatest Hits ,167,18,125, Red Hot Chili Peppers , 4/29/2017
160, Too Weird To Live  Too Rare To Die! ,166,2,105, Panic! At The Disco , 4/29/2017
161, 50th Anniversary Collection ,78,78,2, Neil Diamond , 4/29/2017
162, Encore ,170,8,36, DJ Snake , 4/29/2017
163, Best Of 50 Cent ,135,135,2, 50 Cent , 4/29/2017
164, Recovery ,164,1,274, Eminem , 4/29/2017
165, Trilogy ,165,4,161, The Weeknd , 4/29/2017
166, Abbey Road ,163,1,211, The Beatles , 4/29/2017
167, Greatest Hits: Decade #1 ,160,4,119, Carrie Underwood , 4/29/2017
168, Hozier ,161,2,127, Hozier , 4/29/2017
169, + ,150,5,207, Ed Sheeran , 4/29/2017
170, Nine Track Mind ,173,6,61, Charlie Puth , 4/29/2017
171, A Girl A Bottle A Boat ,151,8,11, Train , 4/29/2017
172, 13 Reasons Why: A Netflix Original Series ,111,111,2, Soundtrack , 4/29/2017
173, This One's For You (EP) ,174,168,4, Luke Combs , 4/29/2017
174, EVOL ,179,1,58, Future , 4/29/2017
175, Nevermind ,176,1,357, Nirvana , 4/29/2017
176, Songs About Jane ,120,6,155, Maroon 5 , 4/29/2017
177, I Am...Sasha Fierce ,171,1,150, Beyonce , 4/29/2017
178, Pawn Shop ,91,17,9, Brothers Osborne , 4/29/2017
179, Something's Going On ,35,35,2, Trace Adkins , 4/29/2017
180, SremmLife ,186,5,117, Rae Sremmurd , 4/29/2017
181, Big Baby D.R.A.M. ,178,19,25, D.R.A.M. , 4/29/2017
182, Handwritten ,183,1,104, Shawn Mendes , 4/29/2017
183, V ,120,1,122, Maroon 5 , 4/29/2017
184, The Marshall Mathers LP 2 ,177,1,170, Eminem , 4/29/2017
185, Under Pressure ,168,4,56, Logic , 4/29/2017
186, Immortalized ,172,1,86, Disturbed , 4/29/2017
187, The Chief ,120,38,6, Jidenna , 4/29/2017
188, Confessions ,120,1,124, Usher , 4/29/2017
189, Major Key ,188,1,37, DJ Khaled , 4/29/2017
190, Dark Sky Paradise ,189,1,105, Big Sean , 4/29/2017
191, Fenix ,190,28,12, Nicky Jam , 4/29/2017
192, Def Jam Presents: Direct Deposit  Vol. 2 ,191,145,5, Various Artists , 4/29/2017
193, The Very Best Of The Eagles ,182,3,187, Eagles , 4/29/2017
194, The Pinkprint ,185,2,116, Nicki Minaj , 4/29/2017
195, Graduation ,120,1,120, Kanye West , 4/29/2017
196, Meat And Candy ,154,16,63, Old Dominion , 4/29/2017
197, Pure Heroine ,120,3,104, Lorde , 4/29/2017
198, American Beauty / American Psycho ,120,1,94, Fall Out Boy , 4/29/2017
199, The Ultimate Hits ,169,3,134, Garth Brooks , 4/29/2017
200, Gold120Greatest Hits ,120,36,132, ABBA , 4/29/2017
